area,crimeType,count,year,month,day,hour,festival,riskLevel
Athimarapatti,drug abuse,5,2024,4,5,15,Christmas,low
Pearl City,vandalism,5,2023,12,5,18,Pongal,moderate
Millerpuram,assault,7,2023,6,2,5,Christmas,high
Mattakadai,assault,9,2023,11,24,2,Diwali,moderate
Third Mile,vandalism,9,2023,11,4,12,New Year,moderate
Bryant Nagar,harassment,2,2023,1,31,3,Pongal,moderate
Nazreth,drug abuse,4,2024,2,1,22,Diwali,low
Mattakadai,robbery,10,2024,11,8,19,Diwali,high
Pearl City,theft,2,2023,1,13,22,Pongal,high
Kovilpillai Nagar,assault,1,2023,2,23,23,Pongal,moderate
Athimarapatti,vandalism,3,2023,11,19,2,Christmas,high
Victoria Extension,drug abuse,7,2024,10,14,22,Christmas,low
Kovilpillai Nagar,drug abuse,7,2024,11,5,7,Ayudha Pooja,high
Victoria Extension,assault,3,2024,3,14,22,,moderate
Third Mile,vandalism,1,2024,7,10,7,Vishu,high
Third Mile,theft,4,2024,7,14,6,Diwali,low
Millerpuram,theft,6,2023,1,7,9,New Year,moderate
Victoria Extension,theft,5,2023,1,13,7,New Year,low
Tiruchendur Road,assault,9,2023,6,24,5,Pongal,high
Mattakadai,assault,8,2023,6,18,10,Diwali,low
Nazreth,assault,2,2023,6,1,18,,high
Athimarapatti,murder,1,2024,8,20,22,Pongal,moderate
Thoothukudi Port,theft,3,2023,6,5,7,New Year,high
Kovilpillai Nagar,harassment,2,2023,8,18,13,Ayudha Pooja,moderate
Millerpuram,harassment,10,2024,11,5,12,Ayudha Pooja,low
Victoria Extension,assault,8,2024,12,5,23,Ayudha Pooja,high
Mattakadai,theft,10,2024,11,11,0,Vishu,high
Muthiahpuram,drug abuse,10,2023,9,30,17,Christmas,moderate
Thoothukudi Port,vandalism,10,2023,9,5,19,Ayudha Pooja,high
Tiruchendur Road,vandalism,8,2023,2,7,4,Pongal,high
Millerpuram,harassment,5,2023,10,15,3,New Year,high
Bryant Nagar,robbery,6,2023,5,22,13,Vishu,low
Beach Road,drug abuse,4,2024,6,16,7,Diwali,moderate
Athimarapatti,theft,4,2023,7,21,11,,moderate
Muthiahpuram,assault,7,2024,11,23,17,,high
Pearl City,vandalism,5,2024,5,10,13,New Year,high
Third Mile,harassment,7,2024,5,17,8,Diwali,low
Pearl City,vandalism,5,2023,5,23,10,Christmas,high
Pearl City,vandalism,1,2023,12,3,22,Christmas,high
Thoothukudi Port,theft,2,2023,7,29,14,New Year,low
New Colony,vandalism,10,2023,8,29,11,Ayudha Pooja,high
Victoria Extension,vandalism,2,2024,6,22,18,Pongal,moderate
Bryant Nagar,murder,9,2024,9,24,10,,low
New Colony,harassment,8,2024,2,3,0,Diwali,high
Third Mile,drug abuse,7,2024,5,27,0,New Year,moderate
Bryant Nagar,harassment,1,2024,5,8,15,Christmas,low
Beach Road,robbery,6,2023,9,8,20,New Year,low
Bryant Nagar,assault,6,2023,5,31,2,Ayudha Pooja,moderate
Tiruchendur Road,harassment,8,2024,10,28,10,Ayudha Pooja,low
Thoothukudi Port,drug abuse,10,2023,11,2,10,Christmas,high
Muthiahpuram,robbery,1,2024,12,14,15,New Year,moderate
Muthiahpuram,robbery,4,2024,8,4,22,Christmas,moderate
Bryant Nagar,vandalism,10,2024,9,17,19,,low
Nazreth,assault,8,2023,7,20,19,Vishu,high
Millerpuram,vandalism,4,2023,7,16,15,Christmas,high
Third Mile,harassment,10,2024,10,21,15,Ayudha Pooja,low
Thoothukudi Port,harassment,10,2023,9,22,14,New Year,moderate
Third Mile,murder,5,2023,5,23,13,Vishu,high
Mattakadai,assault,7,2023,4,3,3,Diwali,low
Victoria Extension,assault,9,2024,9,5,20,Ayudha Pooja,moderate
Pearl City,murder,1,2023,6,6,9,Diwali,moderate
Victoria Extension,murder,6,2024,4,21,9,Christmas,moderate
Victoria Extension,murder,8,2024,7,28,22,Vishu,high
Victoria Extension,vandalism,2,2023,1,1,5,Christmas,high
Millerpuram,theft,2,2024,12,20,7,,moderate
Beach Road,assault,8,2024,12,1,11,Ayudha Pooja,high
Thoothukudi Port,theft,10,2023,4,12,0,Ayudha Pooja,moderate
Mattakadai,vandalism,10,2023,6,10,7,Vishu,moderate
Tiruchendur Road,vandalism,10,2024,7,14,19,Vishu,high
Mattakadai,drug abuse,4,2024,8,25,6,Diwali,moderate
Nazreth,assault,6,2024,12,13,21,Christmas,high
Beach Road,theft,9,2023,11,6,14,Christmas,low
Pearl City,harassment,9,2023,10,19,18,Diwali,high
Mattakadai,drug abuse,5,2024,7,29,17,Diwali,moderate
Thoothukudi Port,robbery,8,2023,10,20,6,Diwali,moderate
Thoothukudi Port,vandalism,1,2023,9,18,10,Christmas,low
Athimarapatti,assault,7,2024,2,23,7,Ayudha Pooja,high
Victoria Extension,vandalism,7,2023,8,15,0,Pongal,moderate
Muthiahpuram,murder,2,2024,10,24,16,Ayudha Pooja,moderate
Athimarapatti,drug abuse,5,2024,6,12,0,Ayudha Pooja,low
Nazreth,vandalism,5,2023,5,27,15,Christmas,low
Millerpuram,harassment,1,2024,12,18,9,,high
Bryant Nagar,vandalism,9,2024,1,3,20,Pongal,high
Pearl City,assault,4,2024,2,10,7,Ayudha Pooja,low
New Colony,robbery,1,2023,8,23,19,Vishu,low
Thoothukudi Port,assault,5,2023,8,4,22,Christmas,high
Therespuram,assault,2,2023,1,5,7,Vishu,moderate
Third Mile,theft,5,2023,1,12,2,,low
Tiruchendur Road,harassment,9,2023,6,13,4,Diwali,low
Thoothukudi Port,assault,5,2024,5,13,4,Ayudha Pooja,high
Victoria Extension,harassment,5,2023,3,24,20,Diwali,high
Bryant Nagar,harassment,8,2024,11,8,3,Vishu,low
New Colony,harassment,7,2023,12,3,20,Pongal,high
Athimarapatti,vandalism,1,2023,4,26,6,,high
Millerpuram,assault,1,2023,2,18,10,Ayudha Pooja,moderate
Nazreth,vandalism,7,2023,2,16,21,,moderate
Nazreth,harassment,3,2023,12,29,18,Pongal,high
New Colony,theft,8,2023,11,17,3,Vishu,moderate
Pearl City,robbery,2,2023,5,1,17,Diwali,high
Muthiahpuram,vandalism,3,2023,10,14,18,,low
Therespuram,murder,2,2024,12,22,23,New Year,low
Tiruchendur Road,drug abuse,2,2024,12,7,4,Vishu,high
Third Mile,assault,8,2023,10,7,3,Vishu,low
Bryant Nagar,harassment,8,2023,4,7,8,,moderate
Bryant Nagar,harassment,2,2023,6,16,6,Pongal,low
Kovilpillai Nagar,theft,7,2023,12,13,19,Diwali,high
Tiruchendur Road,harassment,7,2024,6,18,10,Ayudha Pooja,moderate
Muthiahpuram,murder,10,2023,5,25,0,,high
Therespuram,theft,4,2024,12,29,5,Diwali,moderate
Beach Road,assault,5,2023,8,29,11,Ayudha Pooja,moderate
New Colony,harassment,8,2024,6,29,17,New Year,moderate
Third Mile,harassment,9,2024,11,30,4,Diwali,low
Victoria Extension,murder,2,2024,10,4,6,,low
Bryant Nagar,assault,9,2024,8,6,11,Christmas,high
Athimarapatti,drug abuse,7,2023,2,14,23,Vishu,moderate
Victoria Extension,vandalism,3,2023,9,3,8,Vishu,low
Therespuram,assault,7,2024,8,9,13,,low
Nazreth,drug abuse,10,2023,2,2,17,Christmas,moderate
Athimarapatti,assault,7,2023,8,24,20,Christmas,moderate
Athimarapatti,harassment,3,2023,9,18,4,Pongal,moderate
Athimarapatti,harassment,7,2024,12,30,0,Vishu,low
Muthiahpuram,theft,2,2024,5,4,16,Diwali,low
Pearl City,murder,4,2023,9,3,9,Vishu,high
Thoothukudi Port,robbery,2,2023,11,21,21,New Year,low
Bryant Nagar,harassment,9,2023,9,10,6,New Year,low
Mattakadai,robbery,10,2023,12,12,16,Vishu,low
Bryant Nagar,murder,10,2023,3,8,20,Pongal,low
Thoothukudi Port,theft,2,2023,5,23,3,Pongal,high
Third Mile,assault,8,2024,9,5,18,Diwali,low
Therespuram,drug abuse,10,2024,9,26,22,Vishu,low
Tiruchendur Road,theft,7,2023,3,19,14,New Year,moderate
Tiruchendur Road,murder,5,2024,9,19,2,New Year,high
Pearl City,drug abuse,8,2024,6,30,9,Christmas,moderate
Victoria Extension,assault,7,2023,3,21,2,,low
Pearl City,murder,6,2023,5,5,2,Diwali,moderate
Mattakadai,harassment,1,2024,6,12,12,Diwali,high
Tiruchendur Road,theft,10,2024,10,16,6,New Year,low
Pearl City,theft,9,2023,10,17,3,Ayudha Pooja,high
Bryant Nagar,robbery,5,2023,5,5,22,New Year,high
Bryant Nagar,theft,1,2024,3,3,21,,low
Victoria Extension,robbery,10,2023,2,2,20,Vishu,high
Thoothukudi Port,vandalism,7,2023,8,28,12,New Year,moderate
Kovilpillai Nagar,assault,3,2024,4,11,13,,low
Kovilpillai Nagar,theft,9,2023,8,25,18,Christmas,high
Mattakadai,harassment,2,2023,10,28,5,Christmas,moderate
Kovilpillai Nagar,drug abuse,8,2023,10,26,10,,low
Tiruchendur Road,robbery,9,2024,9,18,1,Vishu,high
Pearl City,harassment,6,2024,2,2,2,Diwali,high
Mattakadai,theft,4,2023,9,29,17,Ayudha Pooja,low
Tiruchendur Road,drug abuse,9,2024,10,3,9,Pongal,moderate
Pearl City,murder,4,2024,5,25,0,,high
Athimarapatti,drug abuse,2,2024,5,4,5,Christmas,moderate
Beach Road,drug abuse,8,2023,7,26,3,Vishu,moderate
Millerpuram,drug abuse,7,2023,3,23,14,Pongal,low
Tiruchendur Road,assault,2,2023,9,21,9,Vishu,high
Pearl City,assault,4,2023,1,14,13,Vishu,high
Bryant Nagar,theft,6,2024,11,19,23,Vishu,low
Kovilpillai Nagar,vandalism,3,2023,1,6,12,New Year,moderate
Athimarapatti,theft,1,2023,5,18,10,,moderate
Kovilpillai Nagar,drug abuse,4,2023,5,23,9,Vishu,high
Victoria Extension,vandalism,1,2023,2,23,7,,high
Victoria Extension,theft,6,2024,3,26,20,Christmas,moderate
Tiruchendur Road,assault,5,2023,1,28,11,Pongal,high
Mattakadai,robbery,10,2023,5,10,22,Ayudha Pooja,moderate
Kovilpillai Nagar,assault,1,2024,7,10,10,Pongal,low
Therespuram,harassment,2,2024,3,22,10,Pongal,low
Pearl City,theft,1,2024,2,7,23,Pongal,low
Bryant Nagar,vandalism,2,2024,2,7,18,Diwali,low
Third Mile,theft,5,2024,1,11,0,Christmas,high
New Colony,robbery,3,2024,4,11,7,Vishu,high
Third Mile,theft,2,2023,11,2,13,Vishu,high
Beach Road,harassment,7,2023,7,4,14,Diwali,low
Millerpuram,drug abuse,7,2023,1,12,1,Ayudha Pooja,low
Pearl City,robbery,6,2023,10,25,2,Vishu,moderate
Victoria Extension,harassment,4,2024,3,24,10,,moderate
Nazreth,assault,4,2024,4,29,19,Pongal,low
Millerpuram,drug abuse,8,2024,11,12,9,Vishu,high
Beach Road,vandalism,6,2024,2,21,23,Diwali,moderate
Muthiahpuram,murder,5,2023,4,14,9,,high
Muthiahpuram,drug abuse,5,2024,7,23,2,Vishu,low
Mattakadai,robbery,5,2024,4,7,12,New Year,high
Pearl City,harassment,7,2023,6,26,15,,moderate
Kovilpillai Nagar,theft,10,2024,4,2,11,Diwali,low
Victoria Extension,robbery,3,2024,4,27,2,Vishu,moderate
Beach Road,drug abuse,9,2023,12,25,13,Pongal,low
Muthiahpuram,assault,4,2023,3,15,6,Diwali,moderate
Bryant Nagar,murder,2,2023,8,11,11,Pongal,moderate
Thoothukudi Port,drug abuse,4,2023,12,24,6,Ayudha Pooja,moderate
New Colony,assault,4,2023,12,11,15,Diwali,moderate
Victoria Extension,theft,6,2023,2,24,18,,high
Athimarapatti,robbery,10,2023,9,20,5,Vishu,high
Mattakadai,murder,8,2024,8,22,12,,high
Thoothukudi Port,drug abuse,1,2024,7,27,7,,low
Tiruchendur Road,robbery,7,2023,3,21,2,New Year,low
Nazreth,drug abuse,7,2023,1,11,17,Pongal,low
Mattakadai,murder,2,2024,10,13,8,,moderate
Nazreth,theft,2,2024,7,18,12,Pongal,moderate
Thoothukudi Port,vandalism,1,2023,11,8,17,Ayudha Pooja,high
Thoothukudi Port,theft,10,2023,8,27,5,Ayudha Pooja,moderate
Third Mile,murder,3,2024,12,11,18,New Year,moderate
Kovilpillai Nagar,theft,8,2023,1,18,1,Christmas,low
Bryant Nagar,harassment,7,2023,6,24,18,New Year,moderate
Bryant Nagar,harassment,2,2023,2,23,20,New Year,high
Third Mile,harassment,2,2024,2,8,14,New Year,low
Athimarapatti,vandalism,8,2024,4,4,0,Christmas,low
Beach Road,theft,5,2024,6,27,7,,moderate
Third Mile,vandalism,8,2024,6,18,7,New Year,moderate
Thoothukudi Port,assault,4,2023,5,24,15,Ayudha Pooja,moderate
Victoria Extension,harassment,1,2024,8,22,19,Pongal,low
Kovilpillai Nagar,harassment,1,2024,9,21,18,Pongal,high
New Colony,theft,10,2023,11,29,1,,high
Therespuram,drug abuse,9,2023,12,9,16,Ayudha Pooja,moderate
Tiruchendur Road,assault,10,2023,2,8,1,New Year,moderate
Victoria Extension,murder,5,2023,4,23,23,Vishu,high
Athimarapatti,murder,1,2024,8,28,6,New Year,high
Mattakadai,vandalism,1,2024,9,20,6,Vishu,moderate
Bryant Nagar,vandalism,4,2023,2,10,17,Diwali,high
Victoria Extension,vandalism,1,2023,7,9,8,Ayudha Pooja,high
Muthiahpuram,theft,2,2023,6,1,5,Ayudha Pooja,low
Victoria Extension,vandalism,4,2024,9,1,8,Christmas,moderate
Beach Road,vandalism,1,2023,5,16,7,Christmas,low
Therespuram,assault,4,2023,6,21,7,New Year,moderate
New Colony,robbery,3,2023,5,17,8,Vishu,high
Athimarapatti,drug abuse,10,2023,11,21,22,Diwali,moderate
Nazreth,vandalism,6,2023,5,1,22,,high
Tiruchendur Road,theft,10,2023,4,23,21,,low
Nazreth,robbery,7,2024,4,30,1,Ayudha Pooja,moderate
Pearl City,murder,7,2024,10,30,10,Vishu,moderate
Beach Road,assault,3,2023,5,24,17,,high
Muthiahpuram,theft,6,2023,7,17,3,New Year,high
Mattakadai,theft,8,2023,7,20,5,Christmas,moderate
Muthiahpuram,drug abuse,4,2024,4,17,3,Ayudha Pooja,low
Pearl City,robbery,2,2023,1,25,4,Vishu,moderate
Third Mile,theft,5,2023,5,20,3,New Year,high
Athimarapatti,drug abuse,9,2024,4,23,4,Pongal,low
Pearl City,drug abuse,4,2024,5,1,23,,low
Mattakadai,drug abuse,6,2024,1,30,17,Christmas,moderate
Mattakadai,assault,7,2023,3,3,23,,high
Kovilpillai Nagar,assault,9,2024,6,13,20,Ayudha Pooja,low
Nazreth,drug abuse,6,2023,12,22,19,Christmas,high
Kovilpillai Nagar,murder,1,2023,3,7,4,New Year,low
Pearl City,drug abuse,8,2024,4,17,17,Christmas,moderate
Millerpuram,harassment,7,2023,8,18,13,Christmas,moderate
Thoothukudi Port,murder,8,2023,5,4,5,Christmas,high
Kovilpillai Nagar,harassment,1,2024,10,18,8,Diwali,moderate
Millerpuram,drug abuse,2,2024,12,20,17,Ayudha Pooja,low
Bryant Nagar,robbery,3,2023,4,15,12,Christmas,moderate
Athimarapatti,vandalism,7,2024,1,5,1,,moderate
Beach Road,drug abuse,3,2024,3,26,12,Ayudha Pooja,moderate
Nazreth,theft,3,2023,9,16,4,,moderate
Beach Road,theft,8,2023,3,13,5,Diwali,low
Bryant Nagar,robbery,8,2024,7,16,16,Pongal,moderate
Muthiahpuram,robbery,5,2023,6,23,8,Vishu,low
Victoria Extension,harassment,3,2023,7,7,0,New Year,moderate
Thoothukudi Port,vandalism,9,2024,7,26,2,Pongal,high
Bryant Nagar,murder,3,2024,7,23,19,New Year,high
Therespuram,robbery,10,2024,8,15,13,Ayudha Pooja,low
Pearl City,murder,7,2024,1,9,12,Diwali,moderate
Thoothukudi Port,assault,9,2024,10,16,17,Pongal,low
Tiruchendur Road,theft,9,2023,5,25,17,Pongal,low
Bryant Nagar,robbery,1,2023,3,28,19,Ayudha Pooja,moderate
Therespuram,theft,5,2024,5,29,17,Vishu,low
Pearl City,harassment,4,2023,11,16,4,Christmas,low
New Colony,murder,6,2023,8,8,4,Christmas,high
Thoothukudi Port,murder,9,2024,5,23,12,Vishu,high
Beach Road,murder,2,2024,9,23,1,Ayudha Pooja,high
Millerpuram,murder,4,2023,3,5,8,Diwali,low
Muthiahpuram,harassment,5,2024,7,11,4,Pongal,low
Bryant Nagar,drug abuse,9,2024,5,12,8,Pongal,high
Muthiahpuram,murder,7,2024,9,25,18,,moderate
Tiruchendur Road,harassment,2,2023,2,2,5,,moderate
Victoria Extension,harassment,10,2024,7,12,12,Diwali,low
Pearl City,robbery,10,2023,11,16,23,Ayudha Pooja,high
Beach Road,harassment,9,2023,1,8,19,Pongal,low
Thoothukudi Port,theft,4,2024,9,4,14,Pongal,high
Therespuram,theft,9,2024,11,3,17,,high
Millerpuram,robbery,10,2024,2,11,5,New Year,high
Pearl City,drug abuse,1,2023,5,25,10,Pongal,moderate
Therespuram,theft,10,2024,7,17,18,Ayudha Pooja,moderate
Therespuram,robbery,8,2024,1,17,17,Pongal,low
Bryant Nagar,robbery,9,2023,2,6,3,Ayudha Pooja,high
Bryant Nagar,vandalism,1,2024,8,26,0,Diwali,moderate
Therespuram,robbery,7,2024,9,21,23,Ayudha Pooja,high
Nazreth,harassment,10,2024,6,27,17,Ayudha Pooja,high
Therespuram,theft,10,2023,12,9,8,,high
Millerpuram,assault,9,2024,9,2,7,Pongal,low
Athimarapatti,vandalism,8,2024,11,27,23,,high
Victoria Extension,murder,9,2023,1,19,13,Christmas,moderate
Athimarapatti,robbery,9,2024,3,26,5,Ayudha Pooja,low
Pearl City,murder,10,2023,3,22,10,Diwali,low
Athimarapatti,harassment,3,2023,6,15,15,New Year,high
Third Mile,harassment,3,2024,8,26,1,Ayudha Pooja,moderate
New Colony,vandalism,1,2024,8,20,16,New Year,low
Therespuram,robbery,3,2024,8,4,0,Diwali,low
Third Mile,murder,6,2024,12,1,6,Diwali,low
Thoothukudi Port,harassment,10,2023,3,16,2,Diwali,low
Kovilpillai Nagar,robbery,9,2023,7,16,10,New Year,high
Pearl City,theft,7,2024,8,18,10,Christmas,moderate
New Colony,theft,5,2023,7,27,18,New Year,moderate
Tiruchendur Road,harassment,6,2023,6,19,15,New Year,high
Therespuram,drug abuse,6,2023,6,16,19,New Year,low
Athimarapatti,murder,7,2023,9,13,2,Pongal,low
Third Mile,drug abuse,3,2024,11,16,2,Pongal,high
Therespuram,murder,2,2023,4,10,8,Vishu,high
Athimarapatti,vandalism,8,2024,2,11,7,Christmas,moderate
Tiruchendur Road,theft,10,2024,4,16,1,,low
Thoothukudi Port,drug abuse,10,2024,8,5,6,Pongal,moderate
Athimarapatti,robbery,2,2023,8,22,14,Christmas,high
Tiruchendur Road,theft,1,2024,3,13,8,Diwali,low
Tiruchendur Road,harassment,9,2023,5,10,8,Pongal,high
Thoothukudi Port,theft,7,2023,4,8,17,Diwali,low
Nazreth,robbery,10,2024,7,23,5,New Year,high
Pearl City,assault,6,2024,10,29,13,Christmas,low
Beach Road,harassment,6,2023,1,19,23,Pongal,low
New Colony,theft,4,2024,6,22,23,Diwali,high
Nazreth,theft,5,2023,6,28,17,Ayudha Pooja,high
Tiruchendur Road,theft,4,2024,11,12,10,,high
Thoothukudi Port,robbery,2,2024,3,8,4,,low
New Colony,vandalism,5,2024,6,11,15,Pongal,high
Kovilpillai Nagar,vandalism,9,2023,4,9,16,New Year,high
Tiruchendur Road,drug abuse,3,2023,4,23,9,Ayudha Pooja,low
Third Mile,vandalism,7,2023,12,19,15,Pongal,high
Mattakadai,theft,9,2024,7,27,15,New Year,low
Beach Road,drug abuse,7,2023,12,28,3,Vishu,high
Tiruchendur Road,drug abuse,7,2023,7,13,15,Diwali,moderate
Third Mile,murder,8,2024,8,7,21,New Year,low
Third Mile,robbery,7,2024,1,23,14,Christmas,high
Tiruchendur Road,robbery,6,2024,2,1,2,New Year,low
Bryant Nagar,robbery,5,2024,3,8,15,Vishu,moderate
Pearl City,murder,6,2024,2,21,4,Diwali,low
Therespuram,drug abuse,1,2023,11,18,9,Vishu,low
Victoria Extension,harassment,2,2024,6,14,22,Christmas,low
Therespuram,vandalism,2,2023,8,19,11,Pongal,low
New Colony,assault,2,2023,11,29,20,New Year,low
Bryant Nagar,vandalism,7,2024,2,21,12,Vishu,moderate
Bryant Nagar,theft,1,2024,10,30,5,Christmas,moderate
Mattakadai,robbery,3,2024,7,26,22,Vishu,low
Mattakadai,drug abuse,1,2023,10,14,16,Diwali,high
Muthiahpuram,harassment,10,2023,9,7,0,Diwali,high
Beach Road,drug abuse,7,2024,2,17,19,Christmas,high
Kovilpillai Nagar,vandalism,7,2024,4,16,10,Ayudha Pooja,high
Thoothukudi Port,robbery,9,2024,8,6,9,Diwali,high
Beach Road,murder,9,2024,10,20,15,,low
Third Mile,murder,7,2024,10,18,2,Pongal,high
New Colony,murder,1,2024,9,11,12,Vishu,low
Bryant Nagar,harassment,5,2023,8,13,12,,high
Millerpuram,harassment,8,2023,7,25,18,New Year,low
Mattakadai,drug abuse,4,2023,2,2,8,,low
Kovilpillai Nagar,theft,6,2024,4,14,15,Ayudha Pooja,low
Beach Road,drug abuse,10,2024,9,17,17,New Year,moderate
Athimarapatti,robbery,9,2023,4,9,19,New Year,high
Third Mile,harassment,9,2024,3,10,12,Christmas,low
Thoothukudi Port,theft,6,2024,9,21,0,Diwali,high
Tiruchendur Road,assault,4,2024,3,1,7,Ayudha Pooja,moderate
Thoothukudi Port,murder,6,2023,10,27,11,,moderate
Bryant Nagar,assault,2,2023,6,4,17,Diwali,high
New Colony,robbery,10,2023,6,9,8,Pongal,moderate
Millerpuram,assault,5,2024,11,6,23,Christmas,low
Pearl City,drug abuse,4,2024,12,3,0,Ayudha Pooja,low
Beach Road,harassment,7,2023,8,10,21,New Year,moderate
Millerpuram,theft,7,2023,11,12,12,Ayudha Pooja,high
Muthiahpuram,robbery,3,2024,11,12,17,New Year,low
New Colony,murder,2,2023,11,7,21,Christmas,moderate
Kovilpillai Nagar,theft,8,2023,9,25,20,New Year,moderate
Beach Road,robbery,8,2023,10,27,2,Ayudha Pooja,moderate
Pearl City,assault,10,2024,4,27,3,Ayudha Pooja,low
Pearl City,assault,10,2023,3,14,15,Ayudha Pooja,moderate
Beach Road,drug abuse,3,2024,8,25,9,Diwali,low
Bryant Nagar,robbery,10,2024,5,2,22,,moderate
Bryant Nagar,theft,6,2023,1,23,11,Vishu,moderate
Therespuram,theft,7,2023,11,14,12,Christmas,low
Muthiahpuram,vandalism,4,2023,8,10,18,Ayudha Pooja,low
Mattakadai,theft,1,2024,3,25,21,Diwali,low
Athimarapatti,vandalism,5,2023,5,6,17,New Year,low
Therespuram,vandalism,3,2023,10,7,23,Ayudha Pooja,moderate
Muthiahpuram,vandalism,5,2023,8,15,12,Pongal,low
Pearl City,vandalism,4,2023,1,13,16,,moderate
Third Mile,robbery,2,2024,6,8,9,,low
Victoria Extension,harassment,4,2024,11,6,10,Christmas,moderate
Third Mile,assault,2,2024,4,14,10,New Year,low
Nazreth,robbery,5,2023,2,25,15,New Year,low
Athimarapatti,theft,10,2023,10,27,5,Ayudha Pooja,moderate
Nazreth,theft,3,2024,11,6,8,Christmas,high
Athimarapatti,vandalism,3,2023,3,30,21,Diwali,low
Kovilpillai Nagar,vandalism,1,2023,12,19,15,Vishu,low
Nazreth,theft,4,2023,4,20,5,Diwali,moderate
Pearl City,murder,10,2023,4,20,15,Diwali,high
Pearl City,robbery,5,2024,4,8,8,Diwali,low
Nazreth,robbery,6,2023,2,26,6,Christmas,low
Thoothukudi Port,drug abuse,6,2023,10,19,1,Pongal,moderate
Therespuram,vandalism,5,2023,3,4,7,Pongal,high
Bryant Nagar,robbery,8,2024,12,7,22,Christmas,low
Tiruchendur Road,theft,5,2024,6,25,7,Diwali,high
Nazreth,assault,7,2023,10,26,23,Pongal,low
Pearl City,vandalism,5,2023,7,25,9,,low
Kovilpillai Nagar,murder,3,2024,9,10,21,,moderate
Tiruchendur Road,vandalism,5,2024,6,17,7,Vishu,high
Pearl City,robbery,7,2023,9,8,15,Vishu,low
Muthiahpuram,harassment,9,2024,1,26,4,New Year,high
New Colony,theft,7,2024,2,7,6,New Year,moderate
Tiruchendur Road,murder,8,2023,12,5,14,New Year,moderate
Thoothukudi Port,assault,4,2024,1,3,3,Diwali,high
Athimarapatti,assault,5,2024,9,19,18,Vishu,low
Nazreth,murder,9,2023,4,3,3,Pongal,high
Millerpuram,robbery,5,2024,5,31,21,Christmas,high
Tiruchendur Road,harassment,3,2024,7,1,3,Christmas,high
Thoothukudi Port,murder,2,2024,7,17,5,Vishu,low
Millerpuram,drug abuse,4,2023,4,10,16,Vishu,moderate
Nazreth,theft,3,2024,8,17,18,Ayudha Pooja,low
Bryant Nagar,robbery,8,2023,7,12,4,Christmas,moderate
Pearl City,vandalism,3,2024,4,30,0,Pongal,high
Pearl City,drug abuse,1,2024,3,31,19,Ayudha Pooja,high
Millerpuram,murder,2,2024,3,27,5,,low
Mattakadai,murder,9,2024,2,11,11,Ayudha Pooja,low
Mattakadai,murder,4,2024,3,5,3,Christmas,moderate
Millerpuram,theft,9,2024,8,23,4,Diwali,moderate
Third Mile,harassment,9,2023,4,6,18,Diwali,moderate
Nazreth,murder,1,2023,2,5,20,Christmas,low
Therespuram,vandalism,4,2024,7,5,11,Vishu,low
Muthiahpuram,vandalism,10,2023,10,8,19,Vishu,high
Tiruchendur Road,assault,2,2024,5,19,22,Diwali,moderate
Bryant Nagar,vandalism,6,2023,8,29,17,,low
Pearl City,robbery,10,2023,7,2,8,Pongal,moderate
Tiruchendur Road,harassment,3,2024,10,22,1,,high
Bryant Nagar,harassment,5,2023,9,19,0,Vishu,low
Tiruchendur Road,theft,8,2023,8,12,16,Christmas,high
Victoria Extension,drug abuse,2,2023,6,2,0,Pongal,low
Third Mile,assault,9,2023,10,17,16,Christmas,moderate
New Colony,assault,2,2023,8,25,8,Christmas,low
Mattakadai,harassment,2,2024,5,18,0,Vishu,moderate
Millerpuram,murder,8,2023,6,24,13,Diwali,high
Mattakadai,vandalism,5,2024,10,18,2,New Year,high
Tiruchendur Road,harassment,4,2024,5,5,7,Ayudha Pooja,low
Victoria Extension,murder,6,2024,3,30,0,New Year,low
Third Mile,robbery,7,2023,7,3,18,Pongal,high
Muthiahpuram,theft,8,2023,9,24,14,,high
Muthiahpuram,murder,4,2024,9,26,4,,high
Thoothukudi Port,murder,10,2023,12,7,18,New Year,high
Millerpuram,drug abuse,7,2024,7,17,19,Vishu,moderate
Millerpuram,assault,4,2024,6,12,11,Diwali,moderate
Tiruchendur Road,assault,5,2023,2,14,12,New Year,moderate
Tiruchendur Road,theft,10,2024,8,28,12,Christmas,low
Muthiahpuram,assault,3,2024,9,4,23,Vishu,moderate
Kovilpillai Nagar,robbery,9,2023,5,15,23,New Year,moderate
Bryant Nagar,theft,6,2024,11,10,18,Pongal,moderate
Kovilpillai Nagar,murder,2,2023,1,23,7,Ayudha Pooja,moderate
Tiruchendur Road,harassment,2,2024,12,31,23,New Year,moderate
Victoria Extension,harassment,4,2024,12,9,19,,high
Kovilpillai Nagar,robbery,9,2024,5,28,19,,low
Thoothukudi Port,theft,2,2024,1,12,14,New Year,moderate
Muthiahpuram,vandalism,5,2023,6,3,0,Ayudha Pooja,moderate
Therespuram,drug abuse,2,2024,7,14,6,Pongal,moderate
New Colony,drug abuse,7,2023,6,17,1,Pongal,high
Muthiahpuram,assault,4,2023,6,9,14,,moderate
Therespuram,harassment,2,2024,6,14,16,Vishu,high
Third Mile,robbery,10,2023,6,18,19,Pongal,moderate
Victoria Extension,drug abuse,6,2023,5,14,23,Ayudha Pooja,high
Third Mile,assault,8,2023,3,29,3,New Year,low
Nazreth,harassment,10,2023,8,24,10,,low
